Unnamed: 0,RecordID,RID,Squib,ReactionOrder,Pre-Exp Factor Coeff,Pre-Exp Factor Power,Activation Energy,Reactant 1,Reactant 2,Reactant 3,Product 1,Product 2,Product 3,Temperature,Reaction Order
26274,41454.0,17790.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=CDE981CB369F6D1816FF42045DBC11F4?id=1960BRI1339:3,2.0,1.66,-12,-32593,(iso-C3H7)2NH,(.)CH3,,CH4,[None],,398,2.0
26284,41498.0,17803.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=36CC5C0D4C468A561F07FF72497D9E90?id=2010ALM/VIE4069-4078:38,2.0,7,-1,,CH3CO2CH=CH2,O3,,[None],['C(C)(=O)OC=O'],,"298
 
K",2.0
26286,41505.0,17806.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=984C1CE3F2E6B633AC82FCAAE53AB6CD?id=2013MAN/SAH3739-3750:1,2.0,1.61,-11,,CH3CO2CH=CH2,(.)OH,,[None],,,"298
 
K",2.0
26290,41513.0,17811.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=DCE29B2E120CC61CDDB621EE24BFCDEF?id=1953MEL/ROB150-160:4,2.0,1.86,-18,,CH3CO2CH=CH2,(.)CCl3,,[None],,,"303
 
K",2.0
26322,41600.0,17856.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=F452459DBA496E3DA2936171549CA317?id=1978TAY1255:1,1.0,3.09,12,-152986,ClCH2C(O)OC(CH3)3,,,CH2ClCOOH,['C=C(C)C'],,528,1.0
26323,41601.0,17856.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=F452459DBA496E3DA2936171549CA317?id=1963EMO1246-1250:1,1.0,1.23,13,-159638,ClCH2C(O)OC(CH3)3,,,CH2ClCOOH,['C=C(C)C'],,489,1.0
26345,41666.0,17892.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=4AF6B9D3D290EBCF44BFC3E494933FC5?id=2014WAN/WAN103-111:1,2.0,3.53,-12,-32803,HC(O)OCH3,H(.),,H2,[None],,300,2.0
26346,41667.0,17892.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=4AF6B9D3D290EBCF44BFC3E494933FC5?id=2013PEU/SIV463-471:7,2.0,8.88,-13,-30231,HC(O)OCH3,H(.),,H2,[None],,500,2.0
26347,41668.0,17892.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=4AF6B9D3D290EBCF44BFC3E494933FC5?id=2002GOO/FRA1733-1738:1,2.0,2.77,-12,-37170,HC(O)OCH3,H(.),,H2,[None],,298,2.0
26349,41670.0,17894.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=617C3A4DF2A4573B910B31616C2FD28B?id=2013PEU/SIV463-471:17,2.0,8,-2,,HC(O)OCH3,H(.),,[None],,,500,2.0
26361,41691.0,17904.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=2FC8547B33D8BBB128457B5F0C189AD4?id=2002GOO/FRA1733-1738:3,2.0,4.59,-15,-48220,HC(O)OCH3,(.)CH3,,CH4,[None],,298,2.0
26370,41703.0,17913.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=77044A1426BE91859B6A0D8FEB91C0B3?id=1967LOU/LAI2785-2793:1,1.0,4.3,18,-290175,CH3OCH2Cl,,,CH3OCH2(.),[None],,633,1.0
