ID,Pre-Exp Factor Coeff,Pre-Exp Factor Power,Activation Energy,Reactant 1,Reactant 2,Reactant 3,Product 1,Product 2,Product 3
570,2.19,12,-153818,['CC(C)(C)OC(=O)C=1C=NC=CC1'],,,['N1=CC(=CC=C1)C(=O)O'],['C=C(C)C'],
582,6.61,9,-125549,[None],,,[None],['C1=CC=CC1'],[None]
600,6.31,12,-226985,['CC(CC)N1N=CC=C1'],,,[None],['N1N=CC=C1'],
606,3.63,13,-142177,['COC1C(C1=C)(C)C'],,,['COC1C(C1)=C(C)C'],,
607,1.86,13,-130537,['COC1C(C1=C)(C)C'],,,['COC=C1C(C1)(C)C'],,
608,4.57,14,-156312,['C(C)OC1C(C1)=C'],,,['C(C)OC=C1CC1'],,
609,5.62,14,-209525,[None],,,[None],[None],
610,7.76,14,-207862,[None],,,[None],[None],
617,1.32,13,-164627,[None],,,['C=C(C)C'],['CC=1C=C(C=CC1)CC(=O)O'],
618,1.26,15,-175435,['CC1(C2C=CC=CC1C2)C'],,,['CC1(C2CC=CC=CC12)C'],,
659,1.51,11,-157975,['[N+](=O)([O-])C=1C=C(C(=O)OC(C)(C)C)C=CC1'],,,['C=C(C)C'],['[N+](=O)([O-])C=1C=C(C(=O)O)C=CC1'],
660,2.43,10,-152986,['FC1=CC=C(C(=O)OC(C)(C)C)C=C1'],,,['C=C(C)C'],['FC1=CC=C(C(=O)O)C=C1'],
661,2.95,11,-166289,['COC=1C=C(C(=O)OC(C)(C)C)C=CC1'],,,['C=C(C)C'],['COC=1C=C(C(=O)O)C=CC1'],
682,3.89,14,-207862,['CC(C)(OC1=CC=C(C=C1)N)C'],,,['C=C(C)C'],['NC1=CC=C(C=C1)O'],
715,1.86,14,-152155,[None],,,['CC1(C(C1)=C(C)C)C'],,
720,7.24,11,-178761,[None],,,[None],,
721,7.24,11,-167121,[None],,,[None],,
776,2.19,13,-242783,['C12C(CCC(C2O1)([2H])[2H])([2H])[2H]'],,,['C1(C=C(CCC1([2H])[2H])[2H])O[2H]'],,
777,7.24,14,-256917,['C12C(CCC(C2O1)([2H])[2H])([2H])[2H]'],,,['C1(C(CCC(C1)([2H])[2H])([2H])[2H])=O'],,
817,2.31,14,-163795,[None],,,[None],,
824,2.0,11,-174604,['CC(C)(C)NC(C1=CC(=CC=C1)OC)=O'],,,['C=C(C)C'],['COC=1C=C(C(=O)N)C=CC1'],
826,7.76,13,-191233,['C(=C)C1(CC1)OC'],,,['COC1=CCCC1'],,
827,2.71,13,-187076,['C(=C)C1(CC1)OC'],,,['COC1=CCCC1'],,
828,6.31,11,-136357,['C(C)C1=CC1CC'],,,[None],,
832,4.79,13,-204536,['CC1C(CC1)=C'],,,['C(C)=C1CCC1'],,
863,6.31,11,-181255,['ClC1=CC=C(C(=O)NC(C)(C)C)C=C1'],,,['C=C(C)C'],['ClC1=CC=C(C(=O)N)C=C1'],
864,2.0,12,-190401,['CC(C)(C)NC(C1=CC(=CC=C1)C)=O'],,,['C=C(C)C'],['CC=1C=C(C(=O)N)C=CC1'],
